Date,Total,Desktop,Android,Desktop/nightly,Desktop/aurora,Desktop/beta,Desktop/release,Android/nightly,Android/aurora,Android/beta,Android/release
2016-01-23,78363259,73229899,5133360,34225,81265,1698100,71416309,1341,1679,112529,5017811
2016-01-24,78025295,72849422,5175873,34542,80301,1443111,71291468,1337,1760,113056,5059720
2016-01-25,107937612,102696815,5240797,41811,112792,2147151,100395061,1342,1727,111092,5126636
2016-01-26,106830746,101546616,5284130,41283,112687,1915493,99477153,1353,1740,113469,5167568
2016-01-27,108020427,102725011,5295416,42163,115294,2170243,100397311,1387,1740,113943,5178346
2016-01-28,107019597,101738868,5280729,41526,114359,2122538,99460445,1346,1852,114246,5163285
2016-01-29,101928852,96626775,5302077,40114,109960,1979954,94496747,1394,1819,116152,5182712
2016-01-30,79293065,74047576,5245489,34483,82247,1730142,72200704,1328,1843,117429,5124889
2016-01-31,79656916,74348325,5308591,34729,81978,1469805,72761813,1361,1919,123175,5182136
2016-02-01,109776310,104376106,5400204,41926,114129,2209103,102010948,1400,1890,126857,5270057
2016-02-02,109617661,104188466,5429195,42239,115397,2228447,101802383,1342,1899,129602,5296352
2016-02-03,108818291,103394205,5424086,41759,114982,2254526,100982938,1353,1848,132880,5288005
2016-02-04,107073655,101683600,5390055,41445,113692,2176487,99351976,1397,1794,130507,5256357
2016-02-05,101461522,96087477,5374045,39776,108280,2022532,93916889,1326,1798,130150,5240771
2016-02-06,78175446,72863790,5311656,34204,80333,1772320,70976933,1353,1896,132156,5176251
2016-02-07,77613309,72256635,5356674,34197,79593,1478704,70664141,1347,1894,132996,5220437
2016-02-08,102472687,97056124,5416563,39931,107794,2023360,94885039,1357,1820,130924,5282462
2016-02-09,104117176,98660390,5456786,41067,110240,2163703,96345380,1359,1882,132930,5320615
2016-02-10,106746530,101279521,5467009,41420,112643,2197443,98928015,1348,1865,134002,5329794
2016-02-11,105800984,100414004,5386980,40928,110956,2115013,98147107,1333,1868,134192,5249587
2016-02-12,101072931,95687091,5385840,39176,107394,1980074,93560447,1315,1842,133902,5248781
2016-02-13,71706307,66871006,4835301,30665,73323,1528327,65238691,1209,1768,122637,4709687
2016-02-14,79460451,74083991,5376460,33980,81026,1478396,72490589,1367,1970,136117,5237006
2016-02-15,109057302,103617289,5440013,39155,99311,2086525,101392298,1208,1637,137069,5300099
2016-02-16,110278450,104830177,5448273,39426,101730,2092288,102596733,1222,1625,132555,5312871
2016-02-17,109933520,104480661,5452859,39295,102655,2102224,102236487,1184,1681,134429,5315565
2016-02-18,109262924,103785138,5477786,39316,102461,2099376,101543985,1229,1765,135495,5339297
2016-02-19,104217480,98766886,5450594,37792,98024,1978443,96652627,1190,1690,134458,5313256
2016-02-20,82299898,76888618,5411280,32608,74057,1732927,75049026,1237,1748,134385,5273910
2016-02-21,80777785,75320940,5456845,32805,73766,1422750,73791619,1219,1796,136400,5317430
2016-02-22,111001811,105490032,5511779,39261,103768,2205317,103141686,1222,1696,138002,5370859
2016-02-23,111280282,105809267,5471015,39465,105405,2230332,103434065,1253,1785,139517,5328460
2016-02-24,111527858,106102159,5425699,39881,105221,2140123,103816934,1260,1758,134585,5288096
2016-02-25,110568615,105126061,5442554,38923,104320,2118950,102863868,1274,1750,136829,5302701
2016-02-26,105184643,99770808,5413835,37715,99656,1994737,97638700,1253,1766,136162,5274654
2016-02-27,81433404,76055897,5377507,32047,74523,1709874,74239453,1208,1796,136448,5238055
2016-02-28,82059036,76637189,5421847,32670,75176,1460830,75068513,1188,1863,137738,5281058
2016-02-29,114500327,109027367,5472960,39397,105676,2235689,106646605,1287,1807,136512,5333354
2016-03-01,113821629,108327017,5494612,39575,106562,2210957,105969923,1278,1855,136961,5354518
2016-03-02,112823988,107320779,5503209,39334,105986,2200297,104975162,1256,1776,138923,5361254
2016-03-03,111097275,105987575,5109700,39009,105067,2169260,103674239,1271,1829,137772,4968828
2016-03-04,105568568,100449260,5119308,37267,100994,2024005,98286994,1257,1780,136891,4979380
2016-03-05,81906743,76814385,5092358,31813,75387,1745891,74961294,1174,1805,136636,4952743
2016-03-06,81413096,76278587,5134509,31775,74633,1461294,74710885,1284,1859,138516,4992850
2016-03-07,111164072,105991423,5172649,38344,104540,2127506,103721033,1187,1835,134859,5034768
2016-03-08,110642176,105399260,5242916,38315,104658,2207221,103049066,761,1828,137184,5103143
2016-03-09,107980045,102751169,5228876,38441,105011,2109069,100498648,590,1780,137144,5089362
2016-03-10,107261565,102031174,5230391,38373,104592,2174730,99713479,1356,1781,138814,5088440
