Date,Desktop/Delta,Desktop/Delta%,Android/Delta,Android/Delta%
2016-05-19,-6842002.285714284,-7.611641461852393,2300646.1428571427,35.24833124686069
2016-05-20,-7775108.142857149,-8.649373014677675,2298092.7142857146,35.177400129822686
2016-05-21,-8011716.142857134,-8.925997426543312,2295304.2857142854,35.13040661318267
2016-05-22,-7845022.857142851,-8.733307083181064,2303673,35.20077450950238
2016-05-23,-6484416.142857149,-7.156165286271627,2315693.2857142854,35.33496499081936
2016-05-24,-4996777.142857134,-5.5168575543137806,2313561.571428571,35.25587558704711
2016-05-25,-5246998,-5.808860073602962,2300181.8571428573,35.0734151614917
2016-05-26,-5928896.571428567,-6.630438298388995,2283010.428571429,34.85726113827927
2016-05-27,-6378249.142857134,-7.182237059963412,2207019.8571428563,34.07209125618847
2016-05-28,-6548984.285714284,-7.393399838406335,2122956.8571428573,33.18584266442199
2016-05-29,-6803862.285714284,-7.695284579025222,2031601.8571428573,32.1898790071623
2016-05-30,-8034828.142857149,-9.176585071285528,1955093.428571429,31.339240003529255
2016-05-31,-9128011.571428567,-10.428406034585935,1904251.5714285718,30.771253870281722
2016-06-01,-8352867.285714284,-9.528144235584923,1866754,30.35410644087799
2016-06-02,-7328415,-8.296587869691333,1810689.8571428573,29.73430753388138
2016-06-03,-5853584.428571433,-6.593099998515495,1829720.7142857146,29.963179901009095
2016-06-04,-5242292.857142866,-5.895132997776777,1837233.2857142864,30.022115358712316
2016-06-05,-4803943.285714284,-5.395463850284718,1846339.5714285718,30.117512664296335
2016-06-06,-4053300.571428582,-4.525599484497313,1828827,29.902256410258804
2016-06-07,-4804296.714285716,-5.392766573518854,1763595.7142857136,29.11345594555676
2016-06-08,-5530651.142857134,-6.232578554757785,1733894.7142857146,28.71428783674267
2016-06-09,-6083977.857142866,-6.882138767340446,1734663.5714285718,28.664223703718605
2016-06-10,-7264362.428571433,-8.257854029013236,1701480.5714285718,28.20041219171452
2016-06-11,-7139666.285714284,-8.121653508658829,1689012.8571428573,28.049059360140422
2016-06-12,-7067638.428571418,-8.038029963349596,1688828.4285714282,28.04211607479606
2016-06-13,-7294738,-8.316563681521439,1689041.2857142864,28.02080432839391
2016-06-14,-6960481.857142866,-7.9202081203373815,1714715,28.313203007420896
2016-06-15,-6630947.285714284,-7.541452644476468,1708917.5714285718,28.24844443050676
2016-06-16,-6291517.714285716,-7.152410328941092,1700438.2857142864,28.17110572248144
2016-06-17,-6001548.857142866,-6.811292271713132,1731968.5714285718,28.56604364590856
2016-06-18,-6315455.285714284,-7.175218969526312,1746138.1428571427,28.721233837271765
2016-06-19,-6639829.428571418,-7.569383035496123,1749427,28.750214875533242
2016-06-20,-6603292,-7.535506395916156,1754351.4285714282,28.79604201504058
2016-06-21,-6657194,-7.6213516420213345,1762082,28.880411649638887
2016-06-22,-6864533,-7.883625104647251,1766879.1428571427,28.91719679698337
2016-06-23,-6889689.571428582,-7.930532384922376,1785989.428571429,29.096510078479128
2016-06-24,-7003282.142857134,-8.096201900191089,1777823.8571428573,29.00652865391734
